,Player,Weight,Height,Position,Rk,Age,Team_x,GP_x,G_x,A_x,PTS,+/-,PIM_x,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Unnamed: 0_y,Round,Draft Position,Team_y,Seasons,GP_y,G_y,A_y,TP,PIM_y,Year,PPS
0,Erik Johnson,225.0,76.0,D,169.0,21.0,STL,1062.0,101.0,244.0,345.0,-29.0,594.0,75.0,21.0,5.0,20.0,175.0,62.0,7.0,2043.0,5.4,383.0,1693:55,25:26,0.0,0.0,0.0,1857.0,1791.0,445.0,537.0,0,1,1,St. Louis Blues,18,1002,94,251,345,549,2006,19.166666666666668
13,Ty Wishart,225.0,76.0,D,629.0,22.0,NYI,21.0,1.0,4.0,5.0,5.0,10.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,23.0,4.3,53.0,336:21,17:16,0.0,0.0,0.0,29.0,27.0,9.0,10.0,15,1,16,San Jose Sharks,3,26,1,5,6,10,2006,2.0
16,Mark Mitera,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,1,19,Anaheim Ducks,0,0,0,0,0,0,2006,0.0
17,David Fischer,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,1,20,Montréal Canadiens,0,0,0,0,0,0,2006,0.0
18,Bobby Sanguinetti,188.0,75.0,D,929.0,21.0,NYR,45.0,2.0,4.0,6.0,-6.0,8.0,2.0,0.0,0.0,1.0,3.0,1.0,0.0,58.0,0.0,13.0,57:40,14:45,0.0,0.0,0.0,44.0,54.0,13.0,14.0,20,1,21,New York Rangers,3,45,2,4,6,8,2006,2.0
20,Dennis Persson,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,1,24,Buffalo Sabres,0,0,0,0,0,0,2006,0.0
22,Ivan Vishnevsky,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,1,27,Dallas Stars,2,5,0,2,2,2,2006,1.0
24,Chris Summers,207.0,74.0,D,962.0,22.0,PHX,90.0,2.0,10.0,12.0,-36.0,59.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,67.0,0.0,2.0,27:44,17:15,0.0,0.0,0.0,109.0,201.0,5.0,19.0,28,1,29,Phoenix Coyotes,6,70,2,7,9,51,2006,1.5
25,Matthew Corrente,205.0,72.0,D,823.0,21.0,NJD,34.0,0.0,6.0,6.0,-5.0,68.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,27.0,0.0,16.0,106:17,8:51,0.0,0.0,0.0,21.0,41.0,2.0,14.0,29,1,30,New Jersey Devils,2,34,0,6,6,68,2006,3.0
27,Carl Sneep,210.0,76.0,D,807.0,24.0,PIT,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16:19,16:19,0.0,0.0,0.0,1.0,2.0,0.0,0.0,31,2,32,Pittsburgh Penguins,1,1,0,1,1,0,2006,1.0
31,Yuri Alexandrov,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,2,37,Boston Bruins,0,0,0,0,0,0,2006,0.0
36,Mike Ratchuk,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,2,42,Philadelphia Flyers,0,0,0,0,0,0,2006,0.0
39,Jeff Petry,197.0,75.0,D,620.0,23.0,EDM,1015.0,102.0,297.0,399.0,-154.0,430.0,75.0,25.0,2.0,17.0,209.0,79.0,9.0,1793.0,2.4,118.0,713:05,23:39,0.0,0.0,0.0,1591.0,2125.0,399.0,1158.0,44,2,45,Edmonton Oilers,15,963,96,286,382,394,2006,25.466666666666665
41,Joey Ryan,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,2,48,Los Angeles Kings,0,0,0,0,0,0,2006,0.0
44,Nigel Williams,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,2,51,Colorado Avalanche,0,0,0,0,0,0,2006,0.0
