,Round,Draft Position,Player,Position,Team,Seasons,GP,G,A,TP,PIM,Year,PPS
0,1,1,Erik Johnson,D,St. Louis Blues,18,1002,94,251,345,549,2006,19.166666666666668
1,1,2,Jordan Staal,F,Pittsburgh Penguins,19,1283,288,398,686,609,2006,36.10526315789474
2,1,3,Jonathan Toews,F,Chicago Blackhawks,16,1067,372,511,883,607,2006,55.1875
3,1,4,Nicklas Bäckström,F,Washington Capitals,18,1105,271,762,1033,504,2006,57.388888888888886
4,1,5,Phil Kessel,F,Boston Bruins,17,1286,413,579,992,402,2006,58.35294117647059
5,1,6,Derick Brassard,F,Columbus Blue Jackets,16,1013,215,330,545,465,2006,34.0625
6,1,7,Kyle Okposo,F,New York Islanders,17,1051,242,372,614,554,2006,36.11764705882353
7,1,8,Peter Mueller,F,Phoenix Coyotes,6,297,63,97,160,98,2006,26.666666666666668
8,1,9,James Sheppard,F,Minnesota Wild,7,394,23,68,91,192,2006,13.0
9,1,10,Michael Frolík,F,Florida Panthers,13,858,159,225,384,317,2006,29.53846153846154
10,1,11,Jonathan Bernier,G,Los Angeles Kings,15,404,0,0,0,0,2006,0.0
11,1,12,Bryan Little,F,Atlanta Thrashers,17,843,217,304,521,293,2006,30.647058823529413
12,1,13,Jiri Tlusty,F,Toronto Maple Leafs,9,446,89,88,177,126,2006,19.666666666666668
13,1,14,Michael Grabner,F,Vancouver Canucks,11,640,175,101,276,110,2006,25.09090909090909
14,1,15,Riku Helenius,G,Tampa Bay Lightning,1,1,0,0,0,0,2006,0.0
15,1,16,Ty Wishart,D,San Jose Sharks,3,26,1,5,6,10,2006,2.0
16,1,17,Trevor Lewis,F,Los Angeles Kings,17,999,101,131,232,231,2006,13.647058823529411
17,1,18,Chris Stewart,F,Colorado Avalanche,11,668,160,162,322,750,2006,29.272727272727273
18,1,19,Mark Mitera,D,Anaheim Ducks,0,0,0,0,0,0,2006,0.0
19,1,20,David Fischer,D,Montréal Canadiens,0,0,0,0,0,0,2006,0.0
20,1,21,Bobby Sanguinetti,D,New York Rangers,3,45,2,4,6,8,2006,2.0
21,1,22,Claude Giroux,F,Philadelphia Flyers,18,1212,357,728,1085,490,2006,60.27777777777778
22,1,23,Semyon Varlamov,G,Washington Capitals,17,621,0,0,0,0,2006,0.0
23,1,24,Dennis Persson,D,Buffalo Sabres,0,0,0,0,0,0,2006,0.0
24,1,25,Patrik Berglund,F,St. Louis Blues,11,717,170,156,326,248,2006,29.636363636363637
25,1,26,Leland Irving,G,Calgary Flames,2,13,0,0,0,0,2006,0.0
26,1,27,Ivan Vishnevsky,D,Dallas Stars,2,5,0,2,2,2,2006,1.0
27,1,28,Nick Foligno,F,Ottawa Senators,18,1185,239,336,575,945,2006,31.944444444444443
28,1,29,Chris Summers,D,Phoenix Coyotes,6,70,2,7,9,51,2006,1.5
29,1,30,Matthew Corrente,D,New Jersey Devils,2,34,0,6,6,68,2006,3.0
30,2,31,Tomas Kana,F,St. Louis Blues,1,6,0,2,2,2,2006,2.0
31,2,32,Carl Sneep,D,Pittsburgh Penguins,1,1,0,1,1,0,2006,1.0
32,2,33,Igor Makarov,F,Chicago Blackhawks,0,0,0,0,0,0,2006,0.0
33,2,34,Michal Neuvirth,G,Washington Capitals,11,257,0,0,0,0,2006,0.0
34,2,35,François Bouchard,F,Washington Capitals,0,0,0,0,0,0,2006,0.0
35,2,36,Jamie McGinn,F,San Jose Sharks,11,617,117,103,220,267,2006,20.0
36,2,37,Yuri Alexandrov,D,Boston Bruins,0,0,0,0,0,0,2006,0.0
37,2,38,Bryce Swan,F,Anaheim Ducks,0,0,0,0,0,0,2006,0.0
38,2,39,Andreas Nödl,F,Philadelphia Flyers,5,183,15,21,36,28,2006,7.2
39,2,40,Ondrej Fiala,F,Minnesota Wild,0,0,0,0,0,0,2006,0.0
40,2,41,Cory Emmerton,F,Detroit Red Wings,4,139,12,9,21,22,2006,5.25
41,2,42,Mike Ratchuk,D,Philadelphia Flyers,0,0,0,0,0,0,2006,0.0
42,2,43,Riley Holzapfel,F,Atlanta Thrashers,0,0,0,0,0,0,2006,0.0
43,2,44,Nikolai Kulyomin,F,Toronto Maple Leafs,10,669,121,153,274,173,2006,27.4
44,2,45,Jeff Petry,D,Edmonton Oilers,15,963,96,286,382,394,2006,25.466666666666665
45,2,46,Jhonas Enroth,G,Buffalo Sabres,8,153,0,0,0,0,2006,0.0
46,2,47,Shawn Matthias,F,Detroit Red Wings,11,551,90,84,174,180,2006,15.818181818181818
47,2,48,Joey Ryan,D,Los Angeles Kings,0,0,0,0,0,0,2006,0.0
48,2,49,Ben Maxwell,F,Montréal Canadiens,4,47,2,6,8,19,2006,2.0
49,2,50,Milan Lucic,F,Boston Bruins,17,1177,233,353,586,1301,2006,34.470588235294116
50,2,51,Nigel Williams,D,Colorado Avalanche,0,0,0,0,0,0,2006,0.0
