,Player,Weight,Height,Position,Unnamed: 0_x,Rk,Age,Team_x,Pos,GP_x,GS,W,L,T/O,GA,Shots,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,GAA/A,GPS,G_x,A_x,PTS,PIM_x,Awards,Unnamed: 0_y,Round,Draft Position,Team_y,Seasons,GP_y,G_y,A_y,TP,PIM_y,Year,PPS
0,Jonathan Bernier,184.0,72.0,G,68.0,69.0,21.0,LAK,G,400.0,359.0,164.0,160.0,40.0,1007.0,11544.0,10538.0,0.957,1.3,18.0,185:001378:15890:12768:213083:353177:092146:461993:112001:231859:542565:561306:27510:06,190.0,0.667,0.0,48.0,4.3,1.62,1.1,0.0,1.0,1.0,0.0,0,10,1,11,Los Angeles Kings,15,404,0,0,0,0,2006,0.0
1,Riku Helenius,211.0,75.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14,1,15,Tampa Bay Lightning,1,1,0,0,0,0,2006,0.0
2,Semyon Varlamov,205.0,74.0,G,45.0,46.0,21.0,WSH,G,605.0,578.0,282.0,228.0,67.0,1530.0,18204.0,16674.0,0.929,2.55,41.0,1527:261560:033151:211949:393639:463306:503159:251347:472861:032839:122517:192116:561792:171334:441594:44,330.0,0.743,3.0,102.0,-1.3,2.87,4.2,0.0,1.0,1.0,0.0,0,22,1,23,Washington Capitals,17,621,0,0,0,0,2006,0.0
3,Leland Irving,177.0,72.0,G,110.0,69.0,23.0,CGY,G,13.0,12.0,3.0,4.0,4.0,36.0,367.0,331.0,0.912,3.19,0.0,394:25270:04,6.0,0.714,1.0,102.0,-0.3,3.8,1.4,0.0,0.0,0.0,0.0,0,25,1,26,Calgary Flames,2,13,0,0,0,0,2006,0.0
4,Michal Neuvirth,209.0,73.0,G,56.0,57.0,21.0,WSH,G,299.0,270.0,114.0,120.0,32.0,748.0,8466.0,7718.0,0.949,2.75,11.0,872:132689:292020:03723:08884:00766:57117:031849:451543:48305:571825:291363:381038:43365:38,141.0,1.0,4.0,97.0,1.2,3.1,2.9,0.0,0.0,0.0,0.0,0,33,2,34,Washington Capitals,11,257,0,0,0,0,2006,0.0
5,Jhonas Enroth,175.0,70.0,G,80.0,81.0,21.0,BUF,G,203.0,176.0,68.0,95.0,18.0,542.0,5883.0,5341.0,0.922,4.12,9.0,58:18769:241399:15623:261574:142833:362204:02629:34856:18274:26,91.0,0.778,0.0,122.0,-0.7,5.15,0.1,0.0,0.0,0.0,0.0,0,45,2,46,Buffalo Sabres,8,153,0,0,0,0,2006,0.0
6,Steve Mason,0.0,0.0,G,15.0,16.0,21.0,CBJ,G,435.0,414.0,179.0,171.0,58.0,1118.0,12462.0,11344.0,0.944,3.05,24.0,3201:283026:302533:411090:09712:05378:043485:362885:233150:263224:37684:53,206.0,0.667,15.0,111.0,-16.3,3.47,8.0,0.0,2.0,2.0,2.0,0,68,3,69,Columbus Blue Jackets,10,476,0,0,0,0,2006,0.0
7,Jeff Zatkoff,186.0,74.0,G,138.0,60.0,26.0,PIT,G,48.0,37.0,18.0,21.0,4.0,113.0,1230.0,1117.0,0.941,2.61,1.0,1171:2236:45732:03550:24,18.0,0.636,3.0,102.0,-0.9,3.07,3.4,0.0,1.0,1.0,0.0,0,73,3,74,Los Angeles Kings,6,48,0,0,0,0,2006,0.0
8,Daniel Larsson,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,91,3,92,Detroit Red Wings,1,0,0,0,0,0,2006,0.0
9,Joe Palmer,0.0,0.0,G,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,95,4,96,Chicago Blackhawks,0,0,0,0,0,0,2006,0.0
